|网点名称|地址|电话|区县|经纬度|银行名称
124|中国工商银行(水泥厂分理处)|七一路25号||耀州区|108.943695,34.907421|中国工商银行(水泥厂分理处)
125|中国银行24小时自助银行|药王路与铁牛路交叉口北200米||耀州区|108.974980,34.907516|中国银行24小时自助银行
126|中国银行24小时自助银行|同官路118号||耀州区|109.004688,34.950699|中国银行24小时自助银行
127|中国邮政储蓄银行|华原路与塔坡路交叉口南50米||耀州区|109.005228,34.967865|中国邮政储蓄银行
128|中国邮政储蓄银行(河滨路)|大同桥大同路1号||耀州区|108.976657,34.915762|中国邮政储蓄银行(河滨路)
129|中国银行24小时自助银行|永安北路189号永乐商城F1层||王益区|109.060608,35.061798|中国银行24小时自助银行
130|新华村镇银行|文营西路与永安南路交叉口东南50米||耀州区|108.940931,34.895847|新华村镇银行
131|中国银行24小时自助银行|文营西路与西城南路口||耀州区|108.991599,34.911293|中国银行24小时自助银行
132|陕西信合24小时自助银行|阳光花园北门东侧||耀州区|108.896206,34.849920|陕西信合24小时自助银行
133|中国工商银行(王益区支行)|金鼎路与铁诺南路交叉口西北150米||耀州区|109.000005,34.970748|中国工商银行(王益区支行)
134|中国工商银行24小时自助银行|同官路南关曙光市场3-4号||耀州区|108.936390,34.914317|中国工商银行24小时自助银行
135|中国工商银行(印台区支行)|玉华镇新街115号玉华社区||王益区|109.100861,35.081014|中国工商银行(印台区支行)
136|陕西信合24小时自助银行|金谟路永辉大厦1层||王益区|109.086318,35.073189|陕西信合24小时自助银行
137|农村商业银行(王益信用社)|楼耀路东50米||耀州区|108.782186,34.909058|农村商业银行(王益信用社)
138|ATM(永乐商城)|重兴南路东50米||耀州区|108.871932,35.261902|ATM(永乐商城)
139|中国工商银行24小时自助银行|红旗街华天广场内||印台区|109.099640,35.113086|中国工商银行24小时自助银行
140|中国工商银行24小时自助银行|东原大道与鸿基东路交叉口东北200米恒盛花园商住小区附近||耀州区|108.981066,34.909623|中国工商银行24小时自助银行
141|中国银行ATM(铜川新区支行)|长虹南路与正阳路十字南侧||王益区|109.089230,35.074719|中国银行ATM(铜川新区支行)
142|陕西信合24小时自助银行|延安路15-49号||耀州区|108.982555,34.917432|陕西信合24小时自助银行
143|南关邮政储蓄ATM(延安路)|红旗街66号中银广场对面||印台区|109.102295,35.108278|南关邮政储蓄ATM(延安路)
144|中国邮政储蓄银行24小时自助银行(新街营业所)|五一路26号||耀州区|108.977108,34.920518|中国邮政储蓄银行24小时自助银行(新街营业所)
145|中国工商银行ATM(金谟路支行)|庙湾镇||王益区|109.059360,35.062100|中国工商银行ATM(金谟路支行)
146|中国信合24小时自助银行|红旗桥2号||王益区|109.094708,35.074859|中国信合24小时自助银行
147|中国信合(金华分社)|步寿路与药王路交叉口东150米||耀州区|108.979631,34.913883|中国信合(金华分社)
148|中国农业银行(红旗街分理处)|延安路惠民佳苑18号楼||耀州区|108.980836,34.908409|中国农业银行(红旗街分理处)
149|长安银行(铜川分行)|水泥厂路||耀州区|108.976094,34.907486|长安银行(铜川分行)
150|中国农业银行24小时自助银行(铜川长虹路分理处)|华原路与步寿路交叉路口往东约100米||耀州区|108.946497,34.895062|中国农业银行24小时自助银行(铜川长虹路分理处)
151|中国信合(延安路支行)|长虹南路7附近||耀州区|108.947087,34.902612|中国信合(延安路支行)
152|中国工商银行(铜川红旗街支行)|重兴南路2号附近||印台区|109.101664,35.104171|中国工商银行(铜川红旗街支行)
153|中国邮政储蓄银行(五一路营业所)|红旗街88附近||印台区|108.926176,35.304983|中国邮政储蓄银行(五一路营业所)
154|农村信用合作社ATM|华夏南道文景佳园一期(幸福里)135号(新区医院对面)||耀州区|108.940488,34.906910|农村信用合作社ATM
155|西安银行(铜川王益区支行)|同官路与济阳路交叉口东南50米||耀州区|108.881831,35.191485|西安银行(铜川王益区支行)
156|陕西信合24小时自助银行|楼耀路西50米||王益区|109.104114,35.083443|陕西信合24小时自助银行
157|铜川印台恒通村镇银行|王家河北路11号||王益区|109.073887,35.067508|铜川印台恒通村镇银行
158|中国银行24小时自助银行|新区环城东路中段华荣商城||耀州区|108.945351,34.888187|中国银行24小时自助银行
159|耀州区农村信用合作联社24小时自助银行|兴盛街东段兴盛小区1楼||耀州区|108.948574,34.895873|耀州区农村信用合作联社24小时自助银行
160|中国农业银行24小时自助银行(长虹路支行)|七一路||印台区|109.100646,35.100085|中国农业银行24小时自助银行(长虹路支行)
161|中国建设银行24小时自助银行|长虹南路时代广场南侧||耀州区|108.941447,34.901998|中国建设银行24小时自助银行
162|中国工商银行24小时自助银行|长虹南路与鸿基东路交叉口西南100米||王益区|109.073557,35.066634|中国工商银行24小时自助银行
163|中国邮政储蓄银行(新区支行)|正阳路与长丰南路交叉口东南100米||王益区|109.094606,35.078145|中国邮政储蓄银行(新区支行)
164|中国工商银行24小时自助银行|北大街与药王路交叉路口南侧(解放商厦)||耀州区|108.974979,34.915185|中国工商银行24小时自助银行
165|中国农业发展银行|同官路22号||耀州区|108.777120,35.160280|中国农业发展银行
166|陕西信合24小时自助银行|新区金鼎路凯悦酒店一楼||王益区|109.074736,35.066939|陕西信合24小时自助银行
167|陕西信合王家河信用社铜川市王益区农村信用合作联社|育才路29号陕西铜川工业技师学院||耀州区|108.979968,34.916196|陕西信合王家河信用社铜川市王益区农村信用合作联社
168|中国工商银行24小时自助银行(正阳路)|步寿路与华原路十字西南角||印台区|109.100984,35.102676|中国工商银行24小时自助银行(正阳路)
169|中国工商银行24小时自助银行(耀州区支行)(装修中)|红旗街15附近中心广场||耀州区|108.992115,34.907459|中国工商银行24小时自助银行(耀州区支行)(装修中)
170|中国建设银行24小时自助银行(七一路支行)|青年路16号||耀州区|108.977035,34.920668|中国建设银行24小时自助银行(七一路支行)
171|中国邮政储蓄银行(长虹路营业所)|渠岸巷与里仁巷交叉口西北50米||耀州区|108.949427,34.895039|中国邮政储蓄银行(长虹路营业所)
172|中国银行24小时自助银行(铜川分行)|华原路与长虹路交叉口往西150米||王益区|109.101745,35.080045|中国银行24小时自助银行(铜川分行)
173|中国农业银行24小时自助银行(铜川正阳路支行)|秦岭水泥股份有限公司工人新村||王益区|109.072712,35.065836|中国农业银行24小时自助银行(铜川正阳路支行)
174|中国建设银行24小时自助银行(永安北路支行)|文营西路与永安南路交叉口南50米||耀州区|108.944944,34.888055|中国建设银行24小时自助银行(永安北路支行)
175|中国邮政储蓄银行(五一路营业所)|西舍村||王益区|109.094106,35.077586|中国邮政储蓄银行(五一路营业所)
176|长安银行(铜川金鼎路社区支行)|黄堡街与210国道交叉口东150米||印台区|109.102223,35.106814|长安银行(铜川金鼎路社区支行)
177|中国银行24小时自助银行(耀州区支行)|华原路与锦阳路交叉口西南150米||耀州区|108.873770,34.958008|中国银行24小时自助银行(耀州区支行)
178|中国工商银行24小时自助银行|朝阳路8号正西方向70米||王益区|109.039188,35.098310|中国工商银行24小时自助银行
179|中国银行24小时自助银行(耀州区支行)|红旗街15号||耀州区|108.959291,34.904590|中国银行24小时自助银行(耀州区支行)
180|中国农业银行24小时自助银行(红旗街分理处)|正阳路与铁诺南路交叉口西南100米||耀州区|108.975668,34.915694|中国农业银行24小时自助银行(红旗街分理处)
181|中国邮政邮政储蓄(青年路邮政所店)|光明路南段||王益区|109.079453,35.071095|中国邮政邮政储蓄(青年路邮政所店)
182|中国银行24小时自助银行(西街支行)|小丘邮政所||耀州区|108.949093,34.895396|中国银行24小时自助银行(西街支行)
183|中国工商银行ATM(铜川长虹路支行)|惠民佳苑南(延安路西)||耀州区|108.951695,34.891315|中国工商银行ATM(铜川长虹路支行)
184|中国工商银行24小时自助银行(水泥厂支行)|公园路陕西信合||耀州区|108.954951,34.900775|中国工商银行24小时自助银行(水泥厂支行)
185|中国信合(铜川市耀州区人民政府东北)|新区朝阳路铜川职业技术学院(西北门)附近||耀州区|108.978845,34.914671|中国信合(铜川市耀州区人民政府东北)
186|中国信合(尧生信用社)|庙湾小学||印台区|109.099980,35.113939|中国信合(尧生信用社)
187|中国银行24小时自助银行|方泉小区东南50米(同官路东)||耀州区|108.948935,34.902348|中国银行24小时自助银行
188|新华村镇银行24小时自助银行|210国道西50米||耀州区|108.977607,34.919086|新华村镇银行24小时自助银行
189|中国邮政储蓄银行24小时自助银行|文营东路与文营西路交叉口北100米||王益区|109.069831,35.066164|中国邮政储蓄银行24小时自助银行
190|中国银行24小时自助银行(红旗街支行)|红旗街中心商业广场||耀州区|108.977150,34.920560|中国银行24小时自助银行(红旗街支行)
191|中国工商银行24小时自助银行(正阳路支行)|华原路什字路口||王益区|109.073889,35.067510|中国工商银行24小时自助银行(正阳路支行)
192|中国建设银行24小时自助银行(朝阳路支行)|黄堡镇||王益区|109.102453,35.084977|中国建设银行24小时自助银行(朝阳路支行)
193|中国邮政储蓄银行(小丘营业所)|步寿路50号||耀州区|108.977866,34.908373|中国邮政储蓄银行(小丘营业所)
194|中国邮政储蓄银行(南关营业所)|正阳国际广场1楼||耀州区|108.941070,34.901601|中国邮政储蓄银行(南关营业所)
195|陕西信合24小时自助银行(川口分社)|红旗街铜川招商市场西北侧40米||耀州区|108.991601,34.911273|陕西信合24小时自助银行(川口分社)
196|中国建设银行24小时自助银行|旬耀路||耀州区|108.982561,34.908753|中国建设银行24小时自助银行
197|中国邮政储蓄银行(庙湾营业所)|步寿路与华原路十字西南角||宜君县|109.350112,35.428477|中国邮政储蓄银行(庙湾营业所)
198|中国银行24小时自助银行|南大街60号||王益区|109.028062,35.002940|中国银行24小时自助银行
199|中国信合(金锁信用社)|天宝路与柳公路交叉口西北100米||耀州区|108.969687,34.918951|中国信合(金锁信用社)
200|中国信合ATM(铜川市耀州区人民政府东北)|红土邮政所(305省道北)||耀州区|108.930505,34.886068|中国信合ATM(铜川市耀州区人民政府东北)
201|中国邮政储蓄银行(红旗营业所)(装修中)|同官路南关曙光市场3-4号||王益区|109.073308,35.066936|中国邮政储蓄银行(红旗营业所)(装修中)
202|中国邮政储蓄银行(华原营业所)|王石凹镇||耀州区|108.950506,34.898517|中国邮政储蓄银行(华原营业所)
203|中国邮政储蓄银行(黄堡支行)|广阳镇牛超农家店东北60米||耀州区|108.936870,34.888425|中国邮政储蓄银行(黄堡支行)
204|中国邮政储蓄银行(耀州区支行)|新区华原东道北、长虹北路西||耀州区|108.781384,34.908407|中国邮政储蓄银行(耀州区支行)
205|中国工商银行24小时自助银行(铜川正阳路支行)|永辉大厦1楼||印台区|109.100908,35.102371|中国工商银行24小时自助银行(铜川正阳路支行)
206|中国邮政储蓄银行(川口支行)|新区长丰北路与咸丰路十字银座商业广场A座一层139号||王益区|109.060608,35.060464|中国邮政储蓄银行(川口支行)
207|中国农业银行24小时自助银行|健康路中段8号||耀州区|108.931262,34.886129|中国农业银行24小时自助银行
208|陕西信合铜川市耀州区农村信用合作联社营业部|旬耀路北50米||耀州区|108.777043,35.160644|陕西信合铜川市耀州区农村信用合作联社营业部
209|中国工商银行24小时自助银行(南大街支行)|川口路5号||印台区|109.102275,35.108698|中国工商银行24小时自助银行(南大街支行)
210|中国工商银行24小时自助银行(铜川分行南大街支行)|正大路与正阳路交叉口东南150米||印台区|109.053290,35.212623|中国工商银行24小时自助银行(铜川分行南大街支行)
211|中国邮政储蓄银行(红土镇营业所)|朝阳路中段路北||耀州区|108.981069,34.909520|中国邮政储蓄银行(红土镇营业所)
212|中国邮政储蓄银行(南关邮政储蓄)|新区金谟西路35号||王益区|109.076776,35.069977|中国邮政储蓄银行(南关邮政储蓄)
213|中国邮政储蓄银行(傲背营业所)|东街方泉小区7号楼1层||印台区|109.101812,35.107325|中国邮政储蓄银行(傲背营业所)
214|中国邮政储蓄银行(广阳营业所)|小河沟翠溪小区||耀州区|108.973458,34.918948|中国邮政储蓄银行(广阳营业所)
215|中国工商银行24小时自助银行(长虹路支行)|香山路与药王路交叉口西北方向40米||王益区|109.028403,35.002847|中国工商银行24小时自助银行(长虹路支行)
216|陕西信合|玉华镇新街115号||耀州区|108.980888,34.910166|陕西信合
