|网点名称|地址|电话|区县|经纬度|银行名称
29|中国建设银行(铜川分行营业部)|红旗街64号附2号|0919-2151357;0919-2151748|王益区|109.074047,35.067090|金融保险服务;银行;中国建设银行
30|中国建设银行(红旗街支行)|药王路86号|0919-6182021|耀州区|108.976687,34.915845|金融保险服务;银行;中国农业银行
31|中国农业银行(耀州区支行)|川口路9号金茂大厦1楼|0919-2392057|王益区|109.060608,35.061798|金融保险服务;银行;中国银行
32|中国银行铜川川口支行|[]|[]|王益区|109.059370,35.062747|金融保险服务;银行;中国银行
33|中国银行|金鼎路与铁诺南路十字东北角|0919-3281691|耀州区|108.947700,34.902910|金融保险服务;银行;中国邮政储蓄银行
34|中国邮政储蓄银行(铁诺南路)|华原东道龙凤佳城商业广场B座1层105号|[]|耀州区|108.945658,34.903840|金融保险服务;银行;中国邮政储蓄银行
35|中国邮政储蓄银行(铁诺支行)|鸭口矿广徐路93号|0919-3588118|耀州区|108.941716,34.902184|金融保险服务;银行;中国工商银行
36|中国工商银行(铜川新区分行)|斯明街与经纬路交叉口东北150米|[]|耀州区|108.940949,34.895858|金融保险服务;自动提款机;中国建设银行ATM
37|中国建设银行(斯正街)|新区长虹南路大耀城新时代酒店一层|[]|耀州区|108.948163,34.896413|金融保险服务;银行;银行
38|西安银行(铜川分行)|朝阳路海林御苑|[]|耀州区|108.930254,34.886187|金融保险服务;银行;中国银行
39|中国银行(铜川朝阳路支行)|永安北路23号|[]|耀州区|108.980561,34.907925|金融保险服务;银行;中国农业银行
40|中国农业银行(城关分理处)|七一路与公园路交叉口西北50米|0919-2183097|王益区|109.084370,35.072935|金融保险服务;银行;农村商业银行
41|中国信合(山城信用社)|正阳路与长丰南路交汇处|0919-4183814|耀州区|108.954727,34.900690|金融保险服务;银行;中国农业银行
42|中国农业银行(铜川正阳路分理处)|七一路103号|0919-2163463|王益区|109.078403,35.070552|金融保险服务;银行;中国农业银行
43|中国农业银行(铜川七一路支行)|新区正阳路3号|0919-3581138|耀州区|108.940730,34.893335|金融保险服务;银行;中国人民银行
44|中国人民银行(铜川市中心支行)|同官路66号|[]|印台区|109.099904,35.116216|金融保险服务;自动提款机;中国银行ATM
45|中国银行ATM(印台支行)|长虹南路碰碰凉旁(秦岭小区门口)|0919-3285597|耀州区|108.949737,34.894712|金融保险服务;银行;农村商业银行
46|陕西信合(长虹信用社)|同官路66号|0919-4183229;0919-4183040|印台区|109.099951,35.116460|金融保险服务;银行;中国银行
47||七一路80号药市斜对面(乐万家购物中心附近)|0919-2660988|耀州区|108.973868,34.915409|金融保险服务;银行;农村商业银行
48|中国银行(印台支行)|同官路中段|[]|印台区|109.099695,35.112950|金融保险服务;自动提款机;农村商业银行ATM
49|中国信合(七一路分社)|朝阳路西50米|[]|耀州区|108.930105,34.886084|金融保险服务;银行;中国农业银行
50|中国信合24小时自助银行(川口路)|金谟东路2号|[]|耀州区|108.944525,34.904318|金融保险服务;自动提款机;中国建设银行ATM
51|中国农业银行(铜川朝阳路分理处)|步寿路与药王路交叉口东150米|[]|耀州区|108.979947,34.916195|金融保险服务;银行;农村商业银行
52|中国建设银行24小时自助银行(新区支行)|北新街(电力局对面)|[]|耀州区|108.978379,34.917588|金融保险服务;银行;农村商业银行
53|陕西信合|棋盘镇棋盘村东组69号|0919-5986343|宜君县|109.193428,35.300876|金融保险服务;银行;农村商业银行
54|陕西信合|210国道西50米|0919-2686702|王益区|109.036653,35.020924|金融保险服务;银行;农村商业银行
55|中国信合(棋盘信用社)|五一路与河滨路交叉口北50米|0919-2681931|王益区|109.098597,35.082634|金融保险服务;银行;中国工商银行
56|中国信合(新乐分社)|王家河北路西50米|[]|王益区|109.051463,35.073145|金融保险服务;银行;农村商业银行
57|中国工商银行(铜川五一路支行)|华原东道枫林小区北门旁|0919-3183233|耀州区|108.937991,34.898628|金融保险服务;银行;银行
58|中国信合(王家河北路)|红旗街156附近|[]|王益区|109.065250,35.062230|金融保险服务;银行;农村商业银行
59|长安银行(枫林社区支行)|董家河镇铜川市航汽铝工业园附近|0919-6986015|耀州区|109.004373,34.966844|金融保险服务;银行;农村商业银行
60|中国信合(红旗分社)|青年路|0919-2895827|王益区|109.104171,35.082268|金融保险服务;银行;农村商业银行
61||红旗街86号信合大厦陕西信合营业厅|0919-2153053|王益区|109.072013,35.065371|金融保险服务;银行;农村商业银行
62|陕西信合|黄堡街与210国道交汇处东100米|0919-7189288|王益区|109.027273,35.003161|金融保险服务;银行;农村商业银行
63|陕西信合|药王路与锦阳路交叉口东100米|0919-2660988|耀州区|108.973077,34.915231|金融保险服务;银行;农村商业银行
64|陕西信合(新建巷分社)|永安南路99附近|[]|耀州区|108.982288,34.903128|金融保险服务;银行;农村商业银行
65|陕西信合(黄堡分社)|金鼎路与铁诺南路交叉口西北150米|0919-3288491|耀州区|108.947075,34.902633|金融保险服务;银行;农村商业银行
66|陕西信合|金谟路永辉大厦1层附近|[]|耀州区|108.940465,34.906716|金融保险服务;银行;农村商业银行
67|陕西信合|七一路翠溪大厦C段(近体育桥)|0919-2165706|王益区|109.079214,35.070999|金融保险服务;银行;中国建设银行
68|中国信合(新城信用社)|照金街道|0919-6931021|耀州区|108.639343,35.055111|金融保险服务;银行;农村商业银行
69||瑶曲镇下石节矿|0919-6821186|耀州区|108.881868,35.191542|金融保险服务;银行;农村商业银行
70|中国信合|红旗街19号|[]|王益区|109.072240,35.065513|金融保险服务;银行;农村商业银行
71|中国建设银行(七一路支行)|长虹南路新时代广场1层|0919-3191592|耀州区|108.949455,34.895009|金融保险服务;银行;中国农业银行
72|陕西信合|黄堡街与210国道交叉口东北150米|0919-7189288|王益区|109.027169,35.004005|金融保险服务;银行;农村商业银行
73|中国信合(瑶曲镇)|川口路14号|0919-2185004|王益区|109.060600,35.060495|金融保险服务;银行;银行
74|中国信合(川口路店)|石柱乡石柱街道创新装饰东南30米|[]|耀州区|108.965802,35.070895|金融保险服务;银行;农村商业银行
75|中国农业银行(长虹路支行)|斯正街|0919-3283016|耀州区|108.931932,34.890743|金融保险服务;银行;银行
76|陕西信合黄堡信用社|孙塬镇南大街(南街幼儿园对面)附近|[]|耀州区|109.029551,34.942362|金融保险服务;银行;农村商业银行
77|陕西信合(川口路店)|柳公路与锦阳三巷交叉口东南150米|[]|耀州区|108.978297,34.918118|金融保险服务;银行;农村商业银行
78|中国信合(石柱信用社)|红旗街64号-2号|[]|王益区|109.074049,35.067127|金融保险服务;自动提款机;中国建设银行ATM
79|中国农业发展银行(铜川市分行营业部)|旬耀路北50米|[]|耀州区|108.901231,34.852738|金融保险服务;银行;农村商业银行
80|陕西信合|楼耀路西50米|[]|耀州区|108.873702,34.958075|金融保险服务;银行;农村商业银行
81|中国信合(北新街分社)|董桃路|[]|耀州区|108.979975,34.972071|金融保险服务;银行;农村商业银行
82|中国建设银行24小时自助银行(红旗街支行)|幸福里西50米(华夏南道北)|[]|耀州区|108.943521,34.888297|金融保险服务;银行;农村商业银行
83|陕西信合|新建巷8号|0919-2181333|王益区|109.075998,35.069376|金融保险服务;银行;农村商业银行
84|陕西信合|陈炉镇街道陈炉镇政府附近|[]|印台区|109.159789,35.023930|金融保险服务;银行;农村商业银行
85|陕西信合|云梦堤与大同路交叉口东南50米|[]|王益区|109.094697,35.074905|金融保险服务;自动提款机;农村商业银行ATM
86|陕西信合(华夏路分社)|[]|[]|耀州区|108.778370,34.907727|金融保险服务;银行;农村商业银行
87|中国信合(新建巷分社)|三里洞花园|0919-2683764|印台区|109.102388,35.091429|金融保险服务;银行;中国银行
88||[]|[]|耀州区|108.965712,35.070861|金融保险服务;银行;农村商业银行
89|陕西信合(陈炉镇政府)|高楼河镇高楼河街道|[]|印台区|109.405726,35.131613|金融保险服务;银行;农村商业银行
90|陕西信合|文营西路与锦阳路交叉口东北100米|[]|耀州区|108.974411,34.907786|金融保险服务;自动提款机;中国建设银行ATM
91|陕西信合(小丘信用社)|育才路|[]|王益区|109.073532,35.070741|金融保险服务;银行;农村商业银行
92|中国银行(三里洞支行)|[]|[]|耀州区|108.881783,35.191423|金融保险服务;银行;农村商业银行
93|陕西信合(石柱信用社)|[]|[]|印台区|108.926811,35.303361|金融保险服务;银行;农村商业银行
94|陕西信合|利民路与育才路交叉口东150米|[]|王益区|109.072772,35.068356|金融保险服务;银行;中国邮政储蓄银行
95|中国建设银行24小时自助银行|华原路与塔坡路交叉口西南100米|[]|耀州区|108.976763,34.920579|金融保险服务;银行;农村商业银行
96|陕西信合(铜工信用社)|同官路118号|[]|印台区|109.102184,35.108314|金融保险服务;自动提款机;中国工商银行ATM
97|陕西信合|华原路与锦阳路交叉路口往西北约100米(华艺君城)|[]|耀州区|108.970043,34.919110|金融保险服务;银行;银行
98|陕西信合(新街信用社)|步寿路68号附近|[]|耀州区|108.978477,34.917700|金融保险服务;自动提款机;农村商业银行ATM
99|中国邮政储蓄银行|步寿路4号|[]|耀州区|108.977887,34.919555|金融保险服务;银行;中国人民银行
100|陕西信合耀州区贷款营销中心|药王路23号|0919-6183644|耀州区|108.974033,34.915433|金融保险服务;银行;中国邮政储蓄银行
101|中国工商银行24小时自助银行(印台区支行)|新区咸丰路邮政局综合楼3楼|0919-3281691;0919-2801286|耀州区|108.941806,34.908165|金融保险服务;银行;中国邮政储蓄银行
102|中国农业发展银行(铜川市耀州区支行)|延安路78附近|0919-2895827|印台区|109.101669,35.090973|金融保险服务;银行;农村商业银行
103|中国信合24小时自助银行(北新街分社)|[]|[]|耀州区|108.977093,34.920601|金融保险服务;银行;农村商业银行
104|中国人民银行(耀州支行)|红旗街15号|0919-2151332;0919-2151211|王益区|109.073329,35.066955|金融保险服务;银行;中国银行
105|中国邮政储蓄银行(耀州区支行)|农村信用合作社庙湾信用社|[]|耀州区|108.776924,35.160177|金融保险服务;银行;银行
106|中国邮政储蓄银行(铜川分行营业部)|黄堡街与210国道交叉口东南50米|0919-7189388|王益区|109.026691,35.002909|金融保险服务;银行;中国工商银行
107|中国信合(三里洞分社)|新区咸丰路邮政局综合楼3楼|[]|耀州区|108.941607,34.908370|金融保险服务;自动提款机;中国邮政储蓄银行ATM
108|陕西信合(耀州联社营业部)|同官路104号|[]|印台区|109.102147,35.109509|金融保险服务;银行;农村商业银行
109|中国银行(铜川分行)|同官路与平康路交叉口东50米|[]|印台区|109.099938,35.116151|金融保险服务;银行;农村商业银行
110|陕西信合(庙湾信用社)|[]|[]|耀州区|108.947096,34.934327|金融保险服务;银行;农村商业银行
111|中国工商银行(黄堡支行)|[]|[]|印台区|109.200139,35.106155|金融保险服务;银行;农村商业银行
112|中国邮政储蓄银行24小时自助银行(铁诺北路支行)|210国道西50米|0919-2686702|印台区|109.052938,35.212149|金融保险服务;银行;农村商业银行
113||富红路北50米|[]|印台区|109.309133,35.170855|金融保险服务;银行;农村商业银行
114|陕西信合(同官信用社)|广阳镇广阳镇街道|0919-7382323|印台区|109.357460,35.118360|金融保险服务;银行;农村商业银行
115|陕西信合(鑫光分社)|红旗街4号|[]|王益区|109.062582,35.062041|金融保险服务;银行;银行
116|陕西信合(耀州区信用联社)|重兴南路东50米|[]|王益区|109.104175,35.082125|金融保险服务;自动提款机;农村商业银行ATM
117|陕西信合|金谟路与铁诺北路交叉路口东北侧(金谟小区)|[]|耀州区|108.943695,34.907421|金融保险服务;自动提款机;中国银行ATM
118|陕西信合(金锁信用社)|华兴北路与文营西路交叉口西50米|[]|耀州区|108.974980,34.907516|金融保险服务;自动提款机;中国农业银行ATM
119|陕西信合(阿庄信用社)|G65包茂高速(孝北村)|0919-6988100|耀州区|109.004688,34.950699|金融保险服务;银行;农村商业银行
120|陕西信合|董家河镇|0919-6986015|耀州区|109.005228,34.967865|金融保险服务;银行;农村商业银行
121||药王路86号|[]|耀州区|108.976657,34.915762|金融保险服务;自动提款机;中国农业银行ATM
122|陕西信合招商分社|川口路77金茂国际大厦|[]|王益区|109.060608,35.061798|金融保险服务;自动提款机;中国银行ATM
123|中国信合24小时自助银行(金华分社)|斯正街5附近|[]|耀州区|108.940931,34.895847|金融保险服务;自动提款机;中国建设银行ATM
124|中国银行24小时自助银行(金谟路支行)|工人新村秦岭水泥股份有限公司|0919-6580154|耀州区|108.991599,34.911293|金融保险服务;银行;中国工商银行
125|中国农业银行24小时自助银行|新材料产业园区管委会西南|[]|耀州区|108.896206,34.849920|金融保险服务;自动提款机;中国银行ATM
126|中国信合(孝北分社)|董桃路南50米|[]|耀州区|109.000005,34.970748|金融保险服务;自动提款机;中国银行ATM
127|中国信合(董家河信用社)|梅乐园小区东100米(文昌东路北)|[]|耀州区|108.936390,34.914317|金融保险服务;银行;中国邮政储蓄银行
128|中国农业银行24小时自助银行(耀州区支行)|永乐堤|[]|王益区|109.100861,35.081014|金融保险服务;银行;中国邮政储蓄银行
129|中国银行ATM(川口支行)|七一路42号|[]|王益区|109.086318,35.073189|金融保险服务;自动提款机;中国银行ATM
130|中国建设银行24小时自助银行|旬耀路东50米|[]|耀州区|108.782186,34.909058|金融保险服务;银行;银行
131|中国工商银行(水泥厂分理处)|[]|[]|耀州区|108.871932,35.261902|金融保险服务;自动提款机;中国银行ATM
132|中国银行24小时自助银行|文营东路与文营西路交叉口北100米|[]|耀州区|108.981066,34.909623|金融保险服务;自动提款机;农村商业银行ATM
133|中国银行24小时自助银行|七一路25号|0919-2183823;0919-2187541|王益区|109.089230,35.074719|金融保险服务;银行;中国工商银行
134|中国邮政储蓄银行|药王路与铁牛路交叉口北200米|[]|耀州区|108.982555,34.917432|金融保险服务;自动提款机;中国工商银行ATM
135|中国邮政储蓄银行(河滨路)|同官路118号|0919-4183405|印台区|109.102295,35.108278|金融保险服务;银行;中国工商银行
136|中国银行24小时自助银行|华原路与塔坡路交叉口南50米|[]|耀州区|108.977108,34.920518|金融保险服务;自动提款机;农村商业银行ATM
137|新华村镇银行|大同桥大同路1号|0919-2159255|王益区|109.094708,35.074859|金融保险服务;银行;农村商业银行
138|中国银行24小时自助银行|永安北路189号永乐商城F1层|[]|耀州区|108.979631,34.913883|金融保险服务;自动提款机;自动提款机
139||文营西路与永安南路交叉口东南50米|[]|耀州区|108.980836,34.908409|金融保险服务;自动提款机;中国工商银行ATM
140|陕西信合24小时自助银行|文营西路与西城南路口|[]|耀州区|108.976094,34.907486|金融保险服务;自动提款机;中国工商银行ATM
141|中国工商银行(王益区支行)|阳光花园北门东侧|[]|耀州区|108.946497,34.895062|金融保险服务;自动提款机;中国银行ATM
142|中国工商银行24小时自助银行|金鼎路与铁诺南路交叉口西北150米|[]|耀州区|108.947087,34.902612|金融保险服务;自动提款机;农村商业银行ATM
143|中国工商银行(印台区支行)|同官路南关曙光市场3-4号|[]|印台区|109.101664,35.104171|金融保险服务;自动提款机;中国邮政储蓄银行ATM
144|陕西信合24小时自助银行|玉华镇新街115号玉华社区|[]|印台区|108.926176,35.304983|金融保险服务;自动提款机;中国邮政储蓄银行ATM
145||金谟路永辉大厦1层|[]|耀州区|108.940488,34.906910|金融保险服务;自动提款机;中国工商银行ATM
146|农村商业银行(王益信用社)|楼耀路东50米|[]|耀州区|108.881831,35.191485|金融保险服务;自动提款机;农村商业银行ATM
147|ATM(永乐商城)|重兴南路东50米|0919-2895827|王益区|109.104114,35.083443|金融保险服务;银行;农村商业银行
148|中国工商银行24小时自助银行|红旗街华天广场内|0919-2151432|王益区|109.073887,35.067508|金融保险服务;银行;中国农业银行
149|中国工商银行24小时自助银行|东原大道与鸿基东路交叉口东北200米恒盛花园商住小区附近|[]|耀州区|108.945351,34.888187|金融保险服务;自动提款机;自动提款机
150|中国银行ATM(铜川新区支行)|长虹南路与正阳路十字南侧|[]|耀州区|108.948574,34.895873|金融保险服务;自动提款机;中国农业银行ATM
151|陕西信合24小时自助银行|延安路15-49号|0919-2681087|印台区|109.100646,35.100085|金融保险服务;银行;农村商业银行
152|南关邮政储蓄ATM(延安路)|红旗街66号中银广场对面|[]|王益区|109.073557,35.066634|金融保险服务;银行;中国工商银行
153|中国邮政储蓄银行24小时自助银行(新街营业所)|五一路26号|0919-3182977;0919-2180323|王益区|109.094606,35.078145|金融保险服务;银行;中国邮政储蓄银行
154|中国工商银行ATM(金谟路支行)|庙湾镇|[]|耀州区|108.777120,35.160280|金融保险服务;自动提款机;农村商业银行ATM
155|中国信合24小时自助银行|红旗桥2号|[]|王益区|109.074736,35.066939|金融保险服务;银行;银行
156|中国信合(金华分社)|步寿路与药王路交叉口东150米|[]|耀州区|108.979968,34.916196|金融保险服务;自动提款机;农村商业银行ATM
157|中国农业银行(红旗街分理处)|延安路惠民佳苑18号楼|0919-8159999|印台区|109.100984,35.102676|金融保险服务;银行;银行
158|长安银行(铜川分行)|水泥厂路|[]|耀州区|108.992115,34.907459|金融保险服务;自动提款机;中国银行ATM
159|中国农业银行24小时自助银行(铜川长虹路分理处)|华原路与步寿路交叉路口往东约100米|[]|耀州区|108.977035,34.920668|金融保险服务;自动提款机;农村商业银行ATM
160|中国信合(延安路支行)|长虹南路7附近|[]|耀州区|108.949427,34.895039|金融保险服务;自动提款机;中国农业银行ATM
161||重兴南路2号附近|[]|王益区|109.101745,35.080045|金融保险服务;自动提款机;中国建设银行ATM
162|中国工商银行(铜川红旗街支行)|红旗街88附近|[]|王益区|109.072712,35.065836|金融保险服务;自动提款机;中国工商银行ATM
163|中国邮政储蓄银行(五一路营业所)|华夏南道文景佳园一期(幸福里)135号(新区医院对面)|0919-3285087|耀州区|108.944944,34.888055|金融保险服务;银行;中国邮政储蓄银行
164||[]|[]|王益区|109.094106,35.077586|金融保险服务;自动提款机;中国工商银行ATM
165|农村信用合作社ATM|同官路与济阳路交叉口东南50米|0919-2696031|印台区|109.102223,35.106814|金融保险服务;银行;银行
166|西安银行(铜川王益区支行)|楼耀路西50米|[]|耀州区|108.873770,34.958008|金融保险服务;自动提款机;农村商业银行ATM
167|陕西信合24小时自助银行|王家河北路11号|0919-2887219|王益区|109.039188,35.098310|金融保险服务;银行;农村商业银行
168|铜川印台恒通村镇银行|新区环城东路中段华荣商城|[]|耀州区|108.959291,34.904590|金融保险服务;自动提款机;中国工商银行ATM
169|中国银行24小时自助银行|兴盛街东段兴盛小区1楼|[]|耀州区|108.975668,34.915694|金融保险服务;自动提款机;中国工商银行ATM
170|耀州区农村信用合作联社24小时自助银行|七一路|[]|王益区|109.079453,35.071095|金融保险服务;自动提款机;中国建设银行ATM
171|中国农业银行24小时自助银行(长虹路支行)|长虹南路时代广场南侧|0919-3191372|耀州区|108.949093,34.895396|金融保险服务;银行;中国邮政储蓄银行
172|中国建设银行24小时自助银行|长虹南路与鸿基东路交叉口西南100米|[]|耀州区|108.951695,34.891315|金融保险服务;自动提款机;中国银行ATM
173|中国工商银行24小时自助银行|正阳路与长丰南路交叉口东南100米|[]|耀州区|108.954951,34.900775|金融保险服务;自动提款机;中国农业银行ATM
174|中国邮政储蓄银行(新区支行)|北大街与药王路交叉路口南侧(解放商厦)|[]|耀州区|108.978845,34.914671|金融保险服务;自动提款机;中国建设银行ATM
175|中国工商银行24小时自助银行|同官路22号|0919-4189328;0919-4183040|印台区|109.099980,35.113939|金融保险服务;银行;中国邮政储蓄银行
176|中国农业发展银行|新区金鼎路凯悦酒店一楼|[]|耀州区|108.948935,34.902348|金融保险服务;银行;银行
177|陕西信合24小时自助银行|[]|[]|耀州区|108.977607,34.919086|金融保险服务;自动提款机;中国银行ATM
178|陕西信合王家河信用社铜川市王益区农村信用合作联社|育才路29号陕西铜川工业技师学院|[]|王益区|109.069831,35.066164|金融保险服务;自动提款机;中国工商银行ATM
179|中国工商银行24小时自助银行(正阳路)|步寿路与华原路十字西南角|[]|耀州区|108.977150,34.920560|金融保险服务;自动提款机;中国银行ATM
180|中国工商银行24小时自助银行(耀州区支行)(装修中)|红旗街15附近中心广场|[]|王益区|109.073889,35.067510|金融保险服务;自动提款机;中国农业银行ATM
181|中国建设银行24小时自助银行(七一路支行)|青年路16号|[]|王益区|109.102453,35.084977|金融保险服务;银行;中国邮政储蓄银行
182|中国邮政储蓄银行(长虹路营业所)|渠岸巷与里仁巷交叉口西北50米|[]|耀州区|108.977866,34.908373|金融保险服务;自动提款机;中国银行ATM
183|中国银行24小时自助银行(铜川分行)|华原路与长虹路交叉口往西150米|[]|耀州区|108.941070,34.901601|金融保险服务;自动提款机;中国工商银行ATM
184|中国农业银行24小时自助银行(铜川正阳路支行)|秦岭水泥股份有限公司工人新村|[]|耀州区|108.991601,34.911273|金融保险服务;自动提款机;中国工商银行ATM
185|中国建设银行24小时自助银行(永安北路支行)|文营西路与永安南路交叉口南50米|0919-6281109|耀州区|108.982561,34.908753|金融保险服务;银行;农村商业银行
186|中国邮政储蓄银行(五一路营业所)|西舍村|0919-5820008|宜君县|109.350112,35.428477|金融保险服务;银行;农村商业银行
187|长安银行(铜川金鼎路社区支行)|黄堡街与210国道交叉口东150米|[]|王益区|109.028062,35.002940|金融保险服务;自动提款机;中国银行ATM
188|中国银行24小时自助银行(耀州区支行)|华原路与锦阳路交叉口西南150米|[]|耀州区|108.969687,34.918951|金融保险服务;自动提款机;自动提款机
189|中国工商银行24小时自助银行|朝阳路8号正西方向70米|[]|耀州区|108.930505,34.886068|金融保险服务;自动提款机;中国邮政储蓄银行ATM
190|中国银行24小时自助银行(耀州区支行)|红旗街15号|[]|王益区|109.073308,35.066936|金融保险服务;自动提款机;中国银行ATM
191|中国农业银行24小时自助银行(红旗街分理处)|正阳路与铁诺南路交叉口西南100米|[]|耀州区|108.950506,34.898517|金融保险服务;自动提款机;中国工商银行ATM
192|中国邮政邮政储蓄(青年路邮政所店)|光明路南段|[]|耀州区|108.936870,34.888425|金融保险服务;自动提款机;中国建设银行ATM
193|中国银行24小时自助银行(西街支行)|小丘邮政所|[]|耀州区|108.781384,34.908407|金融保险服务;银行;中国邮政储蓄银行
194|中国工商银行ATM(铜川长虹路支行)|惠民佳苑南(延安路西)|[]|印台区|109.100908,35.102371|金融保险服务;银行;中国邮政储蓄银行
195|中国工商银行24小时自助银行(水泥厂支行)|公园路陕西信合|[]|王益区|109.060608,35.060464|金融保险服务;自动提款机;农村商业银行ATM
196|中国信合(铜川市耀州区人民政府东北)|新区朝阳路铜川职业技术学院(西北门)附近|[]|耀州区|108.931262,34.886129|金融保险服务;自动提款机;中国建设银行ATM
197|中国信合(尧生信用社)|庙湾小学|[]|耀州区|108.777043,35.160644|金融保险服务;银行;中国邮政储蓄银行
198|中国银行24小时自助银行|方泉小区东南50米(同官路东)|[]|印台区|109.102275,35.108698|金融保险服务;自动提款机;中国银行ATM
199|新华村镇银行24小时自助银行|210国道西50米|0919-2686702|印台区|109.053290,35.212623|金融保险服务;银行;银行
200|中国邮政储蓄银行24小时自助银行|文营东路与文营西路交叉口北100米|[]|耀州区|108.981069,34.909520|金融保险服务;自动提款机;农村商业银行ATM
201|中国银行24小时自助银行(红旗街支行)|红旗街中心商业广场|0919-2182990|王益区|109.076776,35.069977|金融保险服务;银行;中国邮政储蓄银行
202|中国工商银行24小时自助银行(正阳路支行)|华原路什字路口|0919-6186932|耀州区|108.973458,34.918948|金融保险服务;银行;中国邮政储蓄银行
203|中国建设银行24小时自助银行(朝阳路支行)|黄堡镇|0919-7189444|王益区|109.028403,35.002847|金融保险服务;银行;中国邮政储蓄银行
204|中国邮政储蓄银行(小丘营业所)|步寿路50号|0919-6183806;0919-6186194|耀州区|108.980888,34.910166|金融保险服务;银行;中国邮政储蓄银行
205|中国邮政储蓄银行(南关营业所)|正阳国际广场1楼|[]|耀州区|108.953246,34.899990|金融保险服务;自动提款机;中国工商银行ATM
206|陕西信合24小时自助银行(川口分社)|红旗街铜川招商市场西北侧40米|[]|王益区|109.062647,35.062109|金融保险服务;银行;中国邮政储蓄银行
207|中国建设银行24小时自助银行|旬耀路|[]|耀州区|108.904129,34.852057|金融保险服务;自动提款机;中国农业银行ATM
